TODO: sort w.r.t. cumtime instead of totttime?  not sure what the diff is atm


real  13m58.350s
user  13m57.114s
sys 0m1.192s

         259048257 function calls (259044488 primitive calls) in 838.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
      155    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.007    0.007 shutil.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        7    0.000    0.000    0.007    0.001 enum.py:602(_convert)
       21    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:470(__init__)
        1    0.000    0.000    0.000    0.000 _internal.py:686(AxisError)
      120    0.000    0.000    0.001    0.000 re.py:169(match)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
       10    0.000    0.000    0.000    0.000 utils.py:74(__call__)
       51    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
      418    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        8    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
        1    0.000    0.000    0.007    0.007 inspect.py:27(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:57(<module>)
      277    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
       25    0.000    0.000    0.014    0.001 sre_compile.py:542(_code)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
       25    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       25    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.031    0.016 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
       34    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      308    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       40    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       27    0.000    0.000    0.000    0.000 core.py:920(__init__)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
       25    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
      373    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       42    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.020    0.020 _internal.py:6(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:462(_find_new_)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        2    0.000    0.000    0.015    0.007 format.py:439(_filter_header)
        1    0.000    0.000    0.073    0.073 format.py:612(read_array)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
      114    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
      555    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      102    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.024    0.024 __init__.py:220(<module>)
        1    0.000    0.000    0.003    0.003 parse.py:28(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:41(<module>)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
        2    0.000    0.000    0.000    0.000 tokenize.py:243(untokenize)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        5    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
      114    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
      164    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:332(<dictcomp>)
        5    0.000    0.000    0.000    0.000 decorator.py:169(make)
        1    0.000    0.000    0.002    0.002 matfuncs.py:5(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
        1    0.000    0.000    0.011    0.011 case.py:1(<module>)
        1    0.000    0.000    0.067    0.067 __init__.py:90(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6573(getdoc)
        1    0.000    0.000    0.004    0.004 hashlib.py:54(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       40    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      118    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.012    0.012 context.py:1(<module>)
